"venueid","lookupsymbol","securityexchange","currency","securityid","bloombergexchcode"
DEU_Composite,MZ60 GR Equity,DEU,EUR,AU0000365637,GR
DEU_Composite,MZ8A GR Equity,DEU,EUR,US60687Y1091,GR
DEU_Composite,N2L GR Equity,DEU,EUR,KYG642571015,GR
MXN_Composite,MTTR* MM Equity,MX,MXN,US5770961002,MM
DEU_Composite,N1A GR Equity,DEU,EUR,NO0010205966,GR
US_Composite,MYLUY US Equity,US,USD,US5610722085,UN
US_Composite,MYLUY US Equity,US,USD,US5610722085,US
DEU_Composite,MUQ GR Equity,DEU,EUR,US6267171022,GR
MXN_Composite,MUX* MM Equity,MX,MXN,US58039P3055,MM
IN_Composite,MUZALI IN Equity,IN,INR,INE873S01022,IN
DEU_Composite,N0X0 GR Equity,DEU,EUR,US65343F1057,GR
DEU_Composite,N13 GR Equity,DEU,EUR,CA63010G1000,GR
DEU_Composite,N9C GR Equity,DEU,EUR,GRS484003009,GR
CAN_Composite,MEG CN Equity,TO,CAD,CA5527041084,CN
IN_Composite,MEDI IN Equity,IN,INR,INE442D01010,IN
US_Composite,MGAWY US Equity,US,USD,US58517W1036,UN
US_Composite,MGAWY US Equity,US,USD,US58517W1036,US
DEU_Composite,MEN GR Equity,DEU,EUR,KYG2947D1060,GR
US_Composite,MEGDF US Equity,US,USD,AU0000105025,UN
US_Composite,MEGDF US Equity,US,USD,AU0000105025,US
DEU_Composite,MG1 GR Equity,DEU,EUR,US55277P1049,GR
DEU_Composite,MG8 GR Equity,DEU,EUR,US5805891091,GR
US_Composite,METOF US Equity,US,USD,AU000000MEI3,UN
US_Composite,METOF US Equity,US,USD,AU000000MEI3,US
ESP_Composite,MEL SM Equity,ESP,EUR,ES0176252718,SM
DEU_Composite,MFU0 GR Equity,DEU,EUR,US60683M1099,GR
DEU_Composite,MFZ GR Equity,DEU,EUR,JP3902900004,GR
CAN_Composite,META CN Equity,TO,CAD,CA59101A1012,CN
IN_Composite,METAINFO IN Equity,IN,INR,INE162901016,IN
US_Composite,MERG US Equity,US,USD,US5895182088,UN
US_Composite,MERG US Equity,US,USD,US5895182088,US
US_Composite,MERR US Equity,US,USD,US5904192060,UN
US_Composite,MERR US Equity,US,USD,US5904192060,US
US_Composite,MGYXY US Equity,US,USD,US6084641033,UN
US_Composite,MGYXY US Equity,US,USD,US6084641033,US
IN_Composite,MGTP IN Equity,IN,INR,INE805B01012,IN
AUS_Composite,MEZ AU Equity,AX,AUD,NZMELE0002S7,AU
CAN_Composite,METG CN Equity,TO,CAD,CA59103M1032,CN
MXN_Composite,MET* MM Equity,MX,MXN,US59156R1086,MM
MXN_Composite,METSO MM Equity,MX,MXN,FI0009014575,MM
US_Composite,MGFX US Equity,US,USD,US6090812032,UN
US_Composite,MGFX US Equity,US,USD,US6090812032,US
US_Composite,MGRX US Equity,US,USD,US56270V2051,UN
US_Composite,MGRX US Equity,US,USD,US56270V2051,US
